ltable_id,rtable_id,label
581,17384,0
1502,3825,0
337,20538,0
53,13427,0
1560,3823,0
2019,18973,0
2422,1257,0
155,3446,1
261,5192,1
25,12,0
483,1149,0
376,9389,1
1564,12948,0
23,19216,0
417,17561,0
1241,18557,0
1424,11809,0
1532,14949,0
978,19689,0
576,18443,0
99,14509,0
1136,18198,0
753,8205,0
2251,14404,0
700,17837,0
284,2675,1
725,18405,0
2475,15249,0
1605,17203,0
887,4725,0
967,18152,0
1070,2487,0
1178,17561,0
2363,21870,0
1531,17126,0
462,6745,0
1979,12918,0
934,7701,0
2525,3683,0
1952,7748,0
561,19011,0
2253,1302,0
6,12999,0
1443,12276,0
2224,10744,0
2090,19908,0
2133,5374,0
978,2340,0
2115,21933,0
1513,5543,0
1363,11757,0
444,18601,0
2546,17381,0
2430,14687,0
2305,5249,0
1816,9056,0
1689,7512,0
673,15183,0
1192,6608,0
2433,17845,0
1069,15015,0
1761,6603,0
2210,16870,0
1454,6767,0
1205,8312,0
1792,10466,0
144,9986,0
1162,16958,0
852,20429,0
215,10599,0
693,18678,0
1963,1019,0
2549,18325,0
2487,19713,0
2472,8791,0
2018,20646,0
278,17506,0
2082,4739,0
2548,18724,0
896,10529,0
2089,683,0
65,1172,0
2088,17263,1
967,17837,0
16,15183,0
1454,5936,0
920,3246,1
742,12764,0
678,8962,1
497,16327,0
547,15266,0
1269,15877,0
8,10248,0
195,9264,0
967,18153,0
672,12918,0
1934,1584,0
81,20177,0
312,13298,0
2471,8786,0
2229,2872,0
1206,20035,0
1530,19350,0
1825,14124,0
2431,21935,0
67,114,0
1067,16597,0
2019,18077,0
1850,17841,0
1217,5249,1
41,2881,0
305,3320,0
2230,12949,1
2166,12194,0
25,14931,0
1699,16518,0
255,2964,0
2305,3099,0
1090,17550,0
1342,1338,0
1465,2872,0
2430,6743,0
719,6972,1
679,13325,0
582,8235,0
2504,6740,0
2220,20715,0
324,6458,0
2305,15216,0
528,15197,0
56,14402,0
2260,16460,0
2515,4424,1
1701,14065,0
1257,6750,0
2365,22058,0
576,12474,0
417,17837,0
2361,6750,0
2297,10745,0
378,16907,0
1535,18999,1
565,20075,0
2349,21423,0
708,13094,0
2517,8764,0
678,2999,0
975,11438,0
615,12450,0
678,20733,0
1863,2842,0
2020,806,0
889,10725,0
1688,16431,0
1298,19922,0
697,17562,0
2149,10786,0
1242,3140,0
722,12494,0
2055,21962,0
218,1089,0
1809,20067,0
1435,20813,0
818,6917,0
2332,9734,0
1570,14952,0
1405,6997,0
1511,4526,0
1607,13172,1
737,2262,0
1246,10334,0
2349,8252,0
208,12738,0
1432,15919,0
1506,17571,0
2436,6692,0
2116,12600,0
2430,17837,0
794,6139,0
280,16910,0
565,651,0
2216,5771,0
2253,11265,1
932,20657,0
65,13852,0
219,12693,0
397,4862,0
2461,7244,0
2230,12450,0
2237,20493,0
248,1688,0
29,6033,0
739,11687,1
896,4855,0
1342,21065,0
1349,4659,1
753,1595,0
382,18644,0
1016,20224,0
2484,5383,0
2305,4469,0
2424,15449,0
1169,9327,0
1796,6590,0
2160,9858,1
918,6137,0
2116,12589,0
878,998,0
1850,4883,0
2323,16958,0
2091,11566,0
621,698,0
137,19728,0
2471,21811,0
1060,13427,0
1191,9441,0
2457,17144,0
2305,21369,0
2069,2622,0
2297,11014,0
671,16444,0
1145,10786,0
1296,13427,0
2283,1733,0
509,5740,0
1382,8605,0
2293,10546,0
456,10915,0
1657,16332,1
2405,12,0
618,19655,0
2508,11582,1
81,16605,0
2351,20785,0
2193,9730,1
1531,3072,0
944,21757,0
1296,14687,0
747,13170,0
337,19585,0
1699,18399,0
2201,7699,0
790,1904,0
399,19744,0
320,8795,0
348,1189,0
1271,13293,0
25,6983,0
1511,4520,0
1316,5930,0
149,8939,0
1712,18007,0
1502,14348,0
315,7699,0
1367,5637,0
1984,9928,0
32,2820,0
2424,3505,0
1211,242,0
56,8868,0
1284,1338,0
2101,3885,0
2305,3276,0
2472,806,0
1408,20253,0
1536,14015,0
625,17837,0
1120,17504,0
1559,17636,0
1257,19011,0
162,18349,0
1959,4728,0
2126,21494,0
2405,20448,0
525,14462,0
398,16514,1
2389,17892,0
399,2708,0
2510,11287,0
1605,21693,0
2394,13252,0
1704,16231,1
732,17636,0
1959,801,0
572,4643,0
1260,19809,0
2389,2818,0
2389,805,0
2297,4739,0
1719,7246,0
672,14822,0
755,11851,0
2541,14698,0
215,20664,0
820,7079,0
99,14506,0
305,14227,0
595,14869,1
131,1150,0
428,5118,0
2237,7482,0
2119,683,0
95,8669,0
1103,14719,0
705,12896,0
988,18787,0
1007,19065,0
2341,9089,0
1877,2927,1
2264,14656,0
889,19565,0
1934,1585,0
1121,11696,0
821,10528,0
239,12651,0
1631,7141,0
1868,4494,1
740,5293,0
2082,11014,0
2107,4292,0
244,9288,0
1927,2949,0
700,18443,0
742,2793,0
1246,3682,0
1508,18647,0
883,10986,0
1373,6808,0
934,13148,1
1241,20224,0
1413,8763,0
2018,19344,0
1125,8267,1
2439,10806,0
2546,17184,0
1888,10727,0
1418,335,0
626,6743,0
1316,9990,0
2128,17144,0
1888,4711,0
1169,9325,0
2159,17899,1
1875,13348,0
1761,21432,0
828,6908,0
2293,635,0
1959,9734,0
1851,7385,0
702,11013,0
2332,14687,0
821,609,0
889,8763,0
853,7686,0
944,8245,0
123,9162,0
634,928,0
561,820,0
1247,7564,0
2349,2809,0
1927,3098,0
50,2013,0
693,17702,0
53,4728,0
557,13220,0
594,20843,1
1296,19283,0
1077,11884,1
2430,16333,0
1429,10077,0
1784,11403,1
175,6876,0
512,10588,0
2033,6562,0
219,2725,0
65,11130,0
1454,19570,0
967,14707,0
2242,16750,0
448,13174,0
195,21109,0
2305,10515,1
2139,101,1
2472,805,0
1502,2613,0
1067,9064,0
500,587,0
1932,9095,1
1103,15763,0
1425,10754,0
1701,3532,0
2260,21498,0
537,790,1
786,12785,0
101,622,0
2472,16608,0
514,14881,1
429,11241,0
186,1929,0
740,17812,0
1688,16699,0
1699,18048,0
1672,19690,0
678,6938,0
2481,15534,0
519,14264,0
1571,4739,0
102,7764,0
2394,4019,0
1630,4836,0
1879,8607,0
1931,14587,0
1066,12284,0
1802,15678,0
1067,4725,0
417,801,0
1438,7441,0
998,13256,0
2077,11226,0
1600,6444,0
1656,10728,0
305,5266,0
1154,7259,0
2000,4232,0
226,2943,0
99,6552,0
1560,19964,0
1354,18778,0
2422,7225,0
1251,3580,0
1316,13913,0
532,6032,0
1098,11745,0
2260,20247,0
1927,21952,0
2541,1306,0
64,2299,0
2349,14177,0
2332,18507,0
918,8099,0
1931,15249,0
13,7532,0
1809,16909,0
1893,13849,0
1530,16938,0
179,7721,0
1882,7904,0
896,14737,0
2538,21292,0
626,304,0
1091,10988,0
1809,17506,0
448,13173,1
864,5880,0
2418,7679,1
700,806,0
104,3583,0
1429,4048,0
2535,14177,0
284,14570,0
599,549,0
1016,18556,0
528,15198,0
751,3527,0
1296,18443,0
838,8687,0
458,15292,0
2263,14903,0
2462,8175,1
294,15485,0
79,13520,0
2341,15015,0
1720,20799,0
722,12496,0
618,6382,0
382,12586,0
469,18656,0
211,6270,0
2389,18443,0
1365,14487,0
2337,1384,0
2231,17839,1
467,18785,0
625,21693,0
101,2588,0
2349,206,0
266,6381,0
2517,14668,0
2322,8451,0
366,21964,0
339,7584,0
935,929,0
571,15299,0
429,7263,0
661,625,0
458,13307,0
244,6742,0
99,14511,0
700,286,0
1594,3901,0
2389,13427,0
195,6337,0
1295,510,0
792,12866,0
1284,5266,0
1564,12950,0
1776,15489,1
1525,8562,0
1342,9327,0
967,18443,0
1010,1096,0
2409,11714,1
2063,5068,0
65,3177,0
2220,12781,0
95,18732,0
2142,13934,1
757,12382,0
176,1284,0
1999,9557,0
856,17506,0
2405,13009,0
681,4619,0
280,17184,0
1688,18184,0
2391,11013,0
2504,18153,0
1440,12635,0
669,12490,1
1673,15262,0
531,8697,0
1796,20076,0
176,14736,0
1403,8024,0
466,17186,0
1269,7953,0
466,16597,0
2265,21530,0
1827,2581,0
15,4282,1
1282,4376,0
1850,16323,0
1681,21603,0
2430,805,0
2196,17366,1
559,20713,1
640,18863,0
1686,19624,0
2507,11049,0
904,18760,0
226,5311,0
1656,12766,0
1519,20211,0
1129,12649,0
1809,19780,0
742,2789,0
2149,873,0
2343,1609,0
1285,20080,0
2002,6980,0
399,713,1
29,15994,0
2082,6749,0
95,6983,0
1608,11490,0
636,20343,0
625,20429,0
2538,206,0
2472,6743,0
1348,3244,0
900,14328,0
1851,12453,0
1796,6587,0
1172,16647,0
1813,1607,1
1229,5842,1
1257,13427,0
1363,7758,0
50,16936,0
1545,21374,1
1283,12522,0
356,9141,0
2342,6559,0
1067,9063,0
925,2262,0
1661,2482,0
1977,13020,0
465,15263,0
1708,17400,0
1342,9323,0
944,2516,0
1536,7206,0
1151,18330,1
397,4859,0
2507,5038,1
2389,18200,0
2090,14587,0
2341,7893,1
2389,18507,0
1016,17238,0
199,7530,0
1426,6182,0
2412,121,0
856,16597,0
1699,17616,0
1927,854,0
1542,14055,0
2389,17837,0
1131,10180,0
22,232,0
2323,17390,0
1595,15389,0
305,1338,0
1631,3177,0
889,8764,0
1522,18457,0
1423,9727,1
123,818,0
22,16504,0
334,725,0
547,17256,0
2147,12293,0
1959,20429,0
805,6310,0
2507,16183,0
1608,3271,0
1508,636,0
576,18152,0
79,17237,0
661,9985,0
1001,8678,0
832,5272,0
2274,8262,0
1145,10785,0
1178,14680,0
1701,14272,0
1681,1331,0
1092,5776,0
967,20121,0
1646,13032,0
2164,13943,0
824,6477,0
1507,14635,0
1240,1303,0
2371,20993,0
2246,16773,0
1699,20801,0
2464,13686,0
660,10398,0
1258,14686,0
688,10791,0
1602,10608,1
201,5536,0
2548,1648,0
528,11226,0
753,14306,0
769,6362,1
978,18187,0
339,13561,0
417,14680,0
709,3126,0
1695,16901,0
1997,12451,1
1169,3320,0
803,4121,1
1583,11970,0
2430,286,0
1360,15776,0
2510,21469,0
278,20657,0
1229,14620,0
1809,9063,0
944,772,0
2018,5204,0
1487,888,0
